affiliate_id,affiliate_name,parent_id,state,program_tier_id_tier
1115,West Justin Auto Body,5003.0,AL,4
1116,Bassport Auto Body,5003.0,AL,3
1117,Carr Collision Center,,AL,6
1118,Lake Lisaport Auto Body,,FL,5
1119,East Josephville Auto Body,5001.0,FL,1
1120,Newton Collision Center,,SC,2
1121,West Juan Auto Body,5003.0,AL,4
1122,Lake Matthew Auto Body,5003.0,FL,3
1123,Williamview Auto Body,,GA,7
1124,Whitehead Collision Center,5001.0,AL,8
1125,North Cynthiaview Auto Body,,GA,8
1126,North Matthewberg Auto Body,5001.0,AL,6
1127,Evanmouth Auto Body,5003.0,AL,7
1128,Hoffmanville Auto Body,5003.0,AL,8
1129,Jones Collision Center,5003.0,FL,5
1130,New Barry Auto Body,5003.0,NC,8
1131,Brandiberg Auto Body,,FL,5
1132,Andersonport Auto Body,5002.0,TN,2
1133,Diaz Collision Center,5001.0,SC,3
1134,Fitzpatrick Collision Center,5001.0,SC,6
1135,West Jasonbury Auto Body,5003.0,FL,7
1136,West Kimberlychester Auto Body,5003.0,TN,1
1137,East Michelle Auto Body,5003.0,NC,5
1138,South Angel Auto Body,5003.0,SC,4
1139,Doyle Collision Center,5003.0,SC,8
1140,Kimberlychester Auto Body,,AL,7
1141,West Erik Auto Body,5001.0,FL,1
1142,South Monicafort Auto Body,5003.0,AL,1
1143,East Lisa Auto Body,,FL,8
1144,Stevens Collision Center,5001.0,SC,6
1145,Loribury Auto Body,5001.0,NC,7
1146,North Donna Auto Body,5002.0,SC,5
1147,Murphyland Auto Body,,AL,1
1148,Rasmussen Collision Center,5002.0,GA,1
1149,Michaelhaven Auto Body,,FL,1
1150,Ross Collision Center,5001.0,SC,2
