transaction_id,affiliate_id,partner_id,transaction_date,memo,net_amount
TXN-100026,1093,103,2024-11-24,Q4 Promotional Tier Bonus,161.16
TXN-100027,1125,101,2025-04-10,Base Program Rebate,55.12
TXN-100028,1119,101,2025-11-04,Base Program Rebate,521.95
TXN-100029,1136,104,2025-10-02,Base Program Rebate,266.62
TXN-100030,1061,104,2025-12-16,Base Program Rebate,292.12
TXN-100031,1034,103,2025-07-18,Base Program Rebate,10.67
TXN-100032,1022,104,2024-04-30,Base Program Rebate,389.51
TXN-100033,1057,104,2025-05-09,Base Program Rebate,588.2
TXN-100034,1131,105,2026-02-03,Base Program Rebate,527.9
TXN-100034,1131,105,2026-02-03,Q4 Promotional Tier Bonus,211.16
TXN-100035,1117,103,2026-04-20,Base Program Rebate,4.03
TXN-100036,1141,104,2024-06-01,Base Program Rebate,269.31
TXN-100037,1087,104,2024-11-25,Base Program Rebate,522.09
TXN-100037,1087,104,2024-11-25,Q4 Promotional Tier Bonus,208.83
TXN-100038,1071,104,2025-12-23,Base Program Rebate,548.27462345
TXN-100039,1140,102,2025-05-22,Base Program Rebate,578.98262345
TXN-100040,1019,104,2024-04-12,Base Program Rebate,316.76
TXN-100041,1140,102,2024-03-17,Base Program Rebate,283.02
TXN-100041,1140,102,2024-03-17,Q4 Promotional Tier Bonus,113.21
TXN-100042,1146,105,2025-01-24,Base Program Rebate,572.6
TXN-100043,1124,101,2025-09-24,Return Credit / Adjustment Note,-43.38
TXN-100044,1018,104,2024-04-10,Base Program Rebate,456.82
TXN-100045,1068,101,2024-02-17,Base Program Rebate,196.31
TXN-100046,1052,105,2025-02-25,Base Program Rebate,340.64
TXN-100047,1087,105,2025-11-30,Base Program Rebate,146.4
TXN-100047,1087,105,2025-11-30,Q4 Promotional Tier Bonus,58.56
TXN-100048,1003,104,2024-10-21,Base Program Rebate,407.37
TXN-100049,1130,103,2025-10-16,Base Program Rebate,577.31
TXN-100050,1088,104,2024-04-19,Return Credit / Adjustment Note,-144.23
TXN-100051,1064,101,2026-04-29,Base Program Rebate,395.79
TXN-100052,1010,105,2026-02-02,Base Program Rebate,299.29
TXN-100052,1010,105,2026-02-02,Q4 Promotional Tier Bonus,119.72
TXN-100053,1138,102,2025-09-27,Base Program Rebate,152.25
TXN-100054,1026,101,2025-10-04,Base Program Rebate,388.69
TXN-100055,1025,101,2024-10-29,Base Program Rebate,197.71
TXN-100056,1081,105,2025-05-28,Base Program Rebate,548.31
TXN-100057,1113,103,2026-02-03,Base Program Rebate,522.56
TXN-100058,1046,104,2026-04-03,Base Program Rebate,335.49
TXN-100059,1024,104,2025-01-12,Base Program Rebate,404.52
TXN-100060,1086,101,2025-11-22,Base Program Rebate,142.21
TXN-100061,1133,102,2025-10-25,Base Program Rebate,40.27
TXN-100062,1093,101,2024-05-23,Base Program Rebate,29.59462345
TXN-100063,1050,105,2024-05-18,Base Program Rebate,234.72
TXN-100064,1124,104,2025-08-24,Base Program Rebate,446.01
TXN-100065,1114,105,2025-02-21,Base Program Rebate,563.58
TXN-100066,1101,102,2025-01-06,Base Program Rebate,61.86
TXN-100067,1077,101,2025-02-11,Base Program Rebate,167.34
TXN-100067,1077,101,2025-02-11,Q4 Promotional Tier Bonus,66.94
TXN-100068,1138,105,2024-01-22,Base Program Rebate,32.72062345
TXN-100069,1041,101,2026-04-29,Base Program Rebate,459.68
TXN-100070,1073,102,2026-03-18,Base Program Rebate,540.57
TXN-100071,1025,105,2024-09-13,Base Program Rebate,479.61
TXN-100072,1077,102,2025-08-25,Base Program Rebate,195.95
TXN-100073,1122,101,2026-02-02,Base Program Rebate,40.48
TXN-100074,1104,105,2024-08-14,Base Program Rebate,567.39
TXN-100075,1121,103,2025-04-14,Base Program Rebate,386.89612345
TXN-100076,1098,101,2025-05-17,Base Program Rebate,428.16
TXN-100077,1029,101,2024-05-09,Base Program Rebate,166.82
TXN-100078,1131,105,2024-10-28,Base Program Rebate,273.59
TXN-100079,1140,105,2026-01-08,Base Program Rebate,519.63
TXN-100080,1105,104,2025-03-01,Base Program Rebate,438.44
TXN-100081,1033,104,2024-03-09,Base Program Rebate,57.01
TXN-100082,1086,102,2025-07-23,Base Program Rebate,38.34
TXN-100082,1086,102,2025-07-23,Q4 Promotional Tier Bonus,15.34
TXN-100083,1098,101,2024-10-21,Base Program Rebate,361.25
TXN-100084,1141,104,2024-08-17,Base Program Rebate,508.75
TXN-100085,1058,105,2024-08-19,Base Program Rebate,484.81512345
TXN-100086,1133,105,2024-01-27,Base Program Rebate,366.37
TXN-100087,1057,103,2024-12-13,Base Program Rebate,212.24
TXN-100088,1015,102,2026-01-28,Base Program Rebate,380.82
TXN-100089,1096,104,2024-12-15,Base Program Rebate,96.55
TXN-100090,1131,101,2024-02-23,Base Program Rebate,95.46
TXN-100091,1101,104,2025-05-12,Base Program Rebate,365.23
TXN-100092,1075,104,2024-04-23,Base Program Rebate,171.74
TXN-100093,1008,102,2025-02-08,Base Program Rebate,590.71
TXN-100094,1026,103,2024-10-23,Base Program Rebate,198.55
TXN-100095,1087,105,2025-12-21,Base Program Rebate,139.99
TXN-100096,1090,101,2025-03-22,Base Program Rebate,13.7
TXN-100096,1090,101,2025-03-22,Q4 Promotional Tier Bonus,5.48
TXN-100097,1096,103,2024-04-27,Base Program Rebate,244.51
TXN-100097,1096,103,2024-04-27,Q4 Promotional Tier Bonus,97.8
TXN-100098,1081,101,2025-03-23,Base Program Rebate,507.08
TXN-100099,1090,103,2026-02-02,Base Program Rebate,205.36
TXN-100100,1022,105,2025-06-06,Base Program Rebate,118.36
TXN-100101,1139,102,2024-08-29,Base Program Rebate,63.93
TXN-100102,1140,101,2024-06-30,Base Program Rebate,570.9
TXN-100103,1129,104,2025-11-28,Base Program Rebate,554.68
TXN-100104,1137,103,2024-06-03,Base Program Rebate,265.26
TXN-100105,1130,101,2024-12-26,Base Program Rebate,305.63
TXN-100106,1061,101,2025-10-22,Base Program Rebate,518.89
TXN-100106,1061,101,2025-10-22,Q4 Promotional Tier Bonus,207.56
TXN-100107,1008,104,2026-04-09,Base Program Rebate,344.07
TXN-100108,1013,104,2024-04-15,Base Program Rebate,487.05262345
TXN-100109,1139,102,2024-02-10,Base Program Rebate,150.53
TXN-100110,1034,103,2025-01-16,Base Program Rebate,550.97
TXN-100111,1010,103,2024-03-08,Base Program Rebate,199.49
TXN-100112,1141,105,2024-06-02,Base Program Rebate,201.68
TXN-100113,1140,104,2024-05-12,Base Program Rebate,358.04
TXN-100113,1140,104,2024-05-12,Q4 Promotional Tier Bonus,143.21
TXN-100114,1144,105,2024-04-05,Base Program Rebate,388.5
TXN-100115,1038,102,2024-12-15,Base Program Rebate,568.73
TXN-100116,1016,103,2026-03-18,Base Program Rebate,62.93
TXN-100117,1006,103,2026-02-23,Base Program Rebate,371.77
TXN-100118,1148,105,2026-04-08,Base Program Rebate,541.84
TXN-100119,1050,104,2025-09-17,Base Program Rebate,172.74
TXN-100120,1070,104,2024-07-17,Base Program Rebate,222.28512345
TXN-100120,1070,104,2024-07-17,Q4 Promotional Tier Bonus,88.91
TXN-100121,1122,104,2024-06-14,Base Program Rebate,490.59
TXN-100122,1139,104,2025-01-15,Base Program Rebate,333.84
TXN-100123,1061,101,2026-02-20,Base Program Rebate,98.29
TXN-100124,1018,102,2026-04-16,Base Program Rebate,272.05
TXN-100125,1117,103,2024-08-29,Base Program Rebate,233.23
TXN-100126,1019,103,2026-03-21,Base Program Rebate,89.76
TXN-100127,1026,104,2025-04-04,Base Program Rebate,370.17
TXN-100127,1026,104,2025-04-04,Q4 Promotional Tier Bonus,148.07
TXN-100128,1132,105,2025-03-09,Base Program Rebate,68.93
TXN-100129,1096,105,2025-04-13,Base Program Rebate,40.03
TXN-100130,1137,105,2025-08-11,Base Program Rebate,147.06
TXN-100131,1050,105,2025-03-02,Base Program Rebate,114.42
TXN-100132,1122,105,2025-06-03,Base Program Rebate,472.38
TXN-100133,1008,104,2025-01-17,Base Program Rebate,154.06
TXN-100134,1141,101,2026-03-01,Base Program Rebate,350.19
TXN-100135,1074,102,2026-04-30,Base Program Rebate,468.04
TXN-100136,1026,101,2026-01-03,Base Program Rebate,466.27
TXN-100137,1040,101,2024-11-19,Base Program Rebate,560.1891234500001
TXN-100138,1053,101,2026-02-10,Base Program Rebate,389.02
TXN-100139,1140,103,2024-10-06,Base Program Rebate,76.87
TXN-100140,1088,103,2024-07-10,Base Program Rebate,298.98
TXN-100141,1017,104,2024-03-21,Base Program Rebate,259.79
TXN-100141,1017,104,2024-03-21,Q4 Promotional Tier Bonus,103.92
TXN-100142,1064,103,2025-04-01,Base Program Rebate,362.57
TXN-100143,1008,103,2025-09-21,Base Program Rebate,598.89512345
TXN-100144,1016,104,2025-01-07,Base Program Rebate,309.07
TXN-100145,1132,104,2024-02-05,Base Program Rebate,77.92
TXN-100146,1127,101,2025-09-11,Base Program Rebate,94.18
TXN-100147,1016,105,2024-05-20,Base Program Rebate,318.85
TXN-100148,1022,101,2026-01-23,Base Program Rebate,113.66
TXN-100149,1055,104,2024-08-07,Base Program Rebate,597.83
TXN-100150,1024,102,2024-03-16,Base Program Rebate,272.6
TXN-100150,1024,102,2024-03-16,Q4 Promotional Tier Bonus,109.04
TXN-100151,1071,103,2025-12-27,Base Program Rebate,41.3
TXN-100152,1150,102,2026-03-23,Base Program Rebate,218.49162345
TXN-100153,1050,104,2024-01-27,Return Credit / Adjustment Note,-218.14
TXN-100154,1025,105,2024-03-29,Base Program Rebate,41.78
TXN-100155,1093,104,2026-04-23,Base Program Rebate,346.0
TXN-100156,1111,105,2024-12-18,Base Program Rebate,79.18
TXN-100157,1025,104,2025-05-29,Base Program Rebate,546.65
TXN-100158,1036,102,2024-11-26,Base Program Rebate,561.01
TXN-100159,1061,101,2024-09-13,Base Program Rebate,119.79
TXN-100159,1061,101,2024-09-13,Q4 Promotional Tier Bonus,47.92
TXN-100160,1139,102,2025-08-29,Base Program Rebate,565.11
TXN-100161,1132,103,2025-07-31,Base Program Rebate,27.11
TXN-100161,1132,103,2025-07-31,Q4 Promotional Tier Bonus,10.85
TXN-100162,1041,105,2025-03-02,Base Program Rebate,371.82
TXN-100163,1139,103,2025-05-09,Base Program Rebate,148.81
TXN-100164,1148,101,2024-06-10,Base Program Rebate,265.16
TXN-100165,1071,103,2026-01-21,Base Program Rebate,592.84
TXN-100166,1119,105,2024-04-18,Base Program Rebate,193.17
TXN-100167,1019,101,2024-10-24,Base Program Rebate,567.37
TXN-100167,1019,101,2024-10-24,Q4 Promotional Tier Bonus,226.95
TXN-100168,1128,103,2024-07-13,Base Program Rebate,458.46
TXN-100169,1070,104,2024-01-24,Base Program Rebate,56.3
TXN-100170,1129,103,2024-02-19,Base Program Rebate,32.7
TXN-100171,1112,103,2025-07-03,Base Program Rebate,7.39
TXN-100172,1081,104,2025-01-09,Base Program Rebate,29.53
TXN-100173,1061,101,2025-01-30,Return Credit / Adjustment Note,-303.79
TXN-100174,1147,105,2024-05-01,Return Credit / Adjustment Note,-79.38
TXN-100175,1126,103,2026-02-12,Base Program Rebate,88.7
TXN-100176,1006,102,2025-12-31,Base Program Rebate,201.49
TXN-100177,1119,102,2024-12-01,Base Program Rebate,558.99
TXN-100178,1068,105,2024-12-10,Base Program Rebate,305.62
TXN-100179,1112,101,2025-01-12,Base Program Rebate,200.42
TXN-100180,1148,101,2025-09-03,Base Program Rebate,286.07
TXN-100180,1148,101,2025-09-03,Q4 Promotional Tier Bonus,114.43
TXN-100181,1129,104,2024-06-23,Base Program Rebate,315.73
TXN-100182,1147,102,2024-02-02,Base Program Rebate,344.61
TXN-100183,1096,102,2025-02-26,Base Program Rebate,415.07
TXN-100184,1013,102,2025-06-15,Base Program Rebate,126.39
TXN-100185,1071,102,2025-04-15,Base Program Rebate,547.49
TXN-100186,1147,103,2025-09-16,Base Program Rebate,291.8
TXN-100186,1147,103,2025-09-16,Return Credit / Adjustment Note,-116.72
TXN-100187,1061,102,2025-12-07,Base Program Rebate,423.73
TXN-100188,1058,103,2024-05-04,Base Program Rebate,345.15
TXN-100189,1075,102,2024-10-24,Base Program Rebate,27.63
TXN-100189,1075,102,2024-10-24,Q4 Promotional Tier Bonus,11.05
TXN-100190,1045,102,2026-04-27,Base Program Rebate,324.3
TXN-100190,1045,102,2026-04-27,Q4 Promotional Tier Bonus,129.72
TXN-100191,1052,101,2025-11-16,Base Program Rebate,543.35
TXN-100192,1073,104,2024-04-12,Base Program Rebate,409.51212345
TXN-100193,1034,104,2025-10-30,Base Program Rebate,561.18
TXN-100193,1034,104,2025-10-30,Q4 Promotional Tier Bonus,224.47272345
TXN-100194,1139,101,2026-02-26,Base Program Rebate,55.95
TXN-100195,1006,102,2025-03-03,Return Credit / Adjustment Note,-529.64
TXN-100196,1090,104,2024-07-09,Base Program Rebate,562.12
TXN-100196,1090,104,2024-07-09,Q4 Promotional Tier Bonus,224.85
TXN-100197,1021,103,2024-10-18,Base Program Rebate,273.97
TXN-100198,1026,105,2025-04-24,Base Program Rebate,165.52
TXN-100199,1139,103,2026-01-05,Base Program Rebate,113.75
TXN-100200,1039,102,2025-09-17,Base Program Rebate,514.05
TXN-100200,1039,102,2025-09-17,Q4 Promotional Tier Bonus,205.62
TXN-100201,1038,102,2025-05-03,Base Program Rebate,195.85
TXN-100202,1057,103,2024-11-05,Base Program Rebate,350.52
TXN-100203,1050,101,2025-11-14,Base Program Rebate,73.14
TXN-100204,1070,101,2025-10-16,Base Program Rebate,549.89
TXN-100205,1026,104,2024-06-05,Base Program Rebate,274.35
TXN-100205,1026,104,2024-06-05,Q4 Promotional Tier Bonus,109.74
TXN-100206,1144,102,2026-02-19,Base Program Rebate,150.36
TXN-100207,1104,105,2025-12-21,Base Program Rebate,218.67
TXN-100207,1104,105,2025-12-21,Q4 Promotional Tier Bonus,87.47
TXN-100208,1123,102,2024-06-17,Base Program Rebate,198.55
TXN-100209,1129,104,2024-04-03,Base Program Rebate,539.59
TXN-100210,1096,104,2025-07-31,Base Program Rebate,37.0
TXN-100211,1090,103,2026-04-16,Base Program Rebate,4.3
TXN-100212,1150,101,2025-07-08,Base Program Rebate,596.49
TXN-100212,1150,101,2025-07-08,Q4 Promotional Tier Bonus,238.6
TXN-100213,1026,104,2025-01-18,Base Program Rebate,595.73
TXN-100214,1087,101,2025-11-30,Base Program Rebate,578.58
TXN-100214,1087,101,2025-11-30,Return Credit / Adjustment Note,-231.43
TXN-100215,1090,105,2024-05-10,Base Program Rebate,437.39
TXN-100216,1068,104,2025-11-20,Base Program Rebate,432.16
TXN-100217,1105,103,2024-06-07,Base Program Rebate,167.2
TXN-100217,1105,103,2024-06-07,Q4 Promotional Tier Bonus,66.88
TXN-100218,1004,102,2024-07-30,Base Program Rebate,42.71
TXN-100219,1010,102,2026-01-28,Base Program Rebate,28.93
TXN-100220,1013,102,2025-05-30,Base Program Rebate,596.11
TXN-100221,1128,105,2026-03-02,Base Program Rebate,404.34
TXN-100222,1141,105,2024-08-14,Base Program Rebate,249.6
TXN-100223,1037,104,2025-07-23,Base Program Rebate,298.63
TXN-100223,1037,104,2025-07-23,Q4 Promotional Tier Bonus,119.45
TXN-100224,1096,104,2024-06-01,Base Program Rebate,181.68
TXN-100225,1046,103,2025-12-25,Base Program Rebate,88.75
TXN-100226,1096,105,2025-06-26,Base Program Rebate,82.62
TXN-100227,1104,103,2024-04-04,Base Program Rebate,322.54
TXN-100228,1132,105,2024-02-10,Base Program Rebate,524.49
TXN-100229,1126,102,2025-05-05,Base Program Rebate,127.31
TXN-100229,1126,102,2025-05-05,Q4 Promotional Tier Bonus,50.92
TXN-100230,1024,104,2024-09-05,Base Program Rebate,418.14
TXN-100231,1072,103,2025-01-24,Base Program Rebate,281.08
TXN-100232,1116,104,2024-04-10,Base Program Rebate,482.18
TXN-100233,1041,103,2024-11-16,Base Program Rebate,249.82
TXN-100234,1055,105,2025-08-21,Base Program Rebate,348.54
TXN-100235,1087,105,2024-09-08,Base Program Rebate,300.83
TXN-100236,1114,104,2025-04-16,Base Program Rebate,103.02
TXN-100237,1114,102,2025-07-09,Base Program Rebate,594.22
TXN-100237,1114,102,2025-07-09,Q4 Promotional Tier Bonus,237.69
TXN-100238,1010,101,2025-02-26,Base Program Rebate,84.65
TXN-100239,1045,105,2025-04-11,Base Program Rebate,225.49
TXN-100240,1113,104,2024-01-17,Base Program Rebate,6.45
TXN-100241,1058,105,2024-10-20,Base Program Rebate,12.74
TXN-100242,1037,101,2024-04-08,Base Program Rebate,315.82
TXN-100243,1077,103,2026-03-25,Base Program Rebate,239.65
TXN-100244,1150,102,2024-11-03,Base Program Rebate,411.21
TXN-100245,1006,101,2025-02-19,Base Program Rebate,229.11
TXN-100246,1036,101,2025-05-26,Base Program Rebate,507.58
TXN-100247,1019,105,2024-02-13,Base Program Rebate,139.79
TXN-100247,1019,105,2024-02-13,Q4 Promotional Tier Bonus,55.91
TXN-100248,1147,103,2025-07-10,Base Program Rebate,339.2
TXN-100249,1041,105,2024-05-27,Base Program Rebate,451.97
TXN-100250,1034,105,2024-09-03,Base Program Rebate,341.1
TXN-100251,1088,102,2026-03-20,Base Program Rebate,593.12
TXN-100252,1010,101,2025-03-23,Base Program Rebate,141.21
TXN-100253,1131,104,2026-03-03,Base Program Rebate,197.51
TXN-100254,1049,103,2025-07-20,Base Program Rebate,564.83
TXN-100255,1017,105,2024-10-29,Base Program Rebate,479.34
TXN-100256,1138,102,2026-01-27,Base Program Rebate,235.3
TXN-100257,1101,103,2026-02-18,Base Program Rebate,163.69
TXN-100258,1126,105,2025-02-21,Base Program Rebate,64.22
TXN-100259,1072,104,2024-01-13,Base Program Rebate,176.88
TXN-100260,1052,105,2025-06-17,Base Program Rebate,103.83
TXN-100261,1116,102,2024-03-05,Base Program Rebate,102.41
TXN-100262,1081,103,2024-09-09,Base Program Rebate,433.24
TXN-100263,1026,103,2024-01-07,Base Program Rebate,569.42
TXN-100264,1073,104,2024-12-08,Base Program Rebate,259.79
TXN-100265,1068,103,2025-09-09,Base Program Rebate,568.5
TXN-100266,1071,103,2026-01-22,Base Program Rebate,417.74
TXN-100267,1087,103,2026-04-16,Base Program Rebate,472.06
TXN-100268,1124,102,2025-11-29,Base Program Rebate,461.15
TXN-100269,1041,104,2026-03-27,Base Program Rebate,176.57
TXN-100270,1093,104,2024-05-22,Base Program Rebate,380.92
TXN-100271,1087,101,2025-04-04,Base Program Rebate,594.44
TXN-100272,1148,104,2025-07-10,Base Program Rebate,24.47
TXN-100272,1148,104,2025-07-10,Q4 Promotional Tier Bonus,9.79
TXN-100273,1021,102,2025-11-04,Base Program Rebate,399.65
TXN-100274,1139,104,2026-02-09,Base Program Rebate,200.63
TXN-100275,1046,105,2026-02-03,Base Program Rebate,312.48
TXN-100276,1090,104,2026-03-01,Return Credit / Adjustment Note,-408.53
TXN-100277,1113,101,2024-10-29,Base Program Rebate,251.05
TXN-100277,1113,101,2024-10-29,Q4 Promotional Tier Bonus,100.42
TXN-100278,1105,102,2025-06-17,Base Program Rebate,291.05
TXN-100279,1071,101,2024-11-03,Base Program Rebate,29.2
TXN-100280,1021,102,2026-01-28,Base Program Rebate,148.24
TXN-100281,1111,102,2026-03-27,Base Program Rebate,244.52
TXN-100282,1005,105,2024-07-21,Base Program Rebate,271.12
TXN-100283,1058,101,2025-08-14,Base Program Rebate,63.3
TXN-100283,1058,101,2025-08-14,Q4 Promotional Tier Bonus,25.32
TXN-100284,1114,105,2025-10-16,Base Program Rebate,189.76
TXN-100285,1077,104,2025-09-24,Base Program Rebate,105.58
TXN-100286,1130,101,2025-11-19,Base Program Rebate,82.53
TXN-100287,1148,102,2025-06-07,Base Program Rebate,234.61
TXN-100288,1114,105,2025-12-11,Base Program Rebate,551.7
TXN-100288,1114,105,2025-12-11,Q4 Promotional Tier Bonus,220.68
TXN-100289,1104,105,2024-02-24,Base Program Rebate,519.65
TXN-100289,1104,105,2024-02-24,Q4 Promotional Tier Bonus,207.86
TXN-100290,1140,104,2025-02-22,Base Program Rebate,411.61
TXN-100291,1017,105,2024-02-01,Base Program Rebate,478.04
TXN-100292,1061,102,2026-03-10,Base Program Rebate,275.75
TXN-100293,1022,105,2024-04-26,Base Program Rebate,162.56362345
TXN-100294,1008,104,2025-07-13,Base Program Rebate,133.08
TXN-100295,1052,103,2024-02-03,Base Program Rebate,271.22
TXN-100296,1024,102,2024-08-02,Base Program Rebate,486.89
TXN-100297,1137,104,2024-06-18,Base Program Rebate,370.65
TXN-100298,1127,103,2025-06-29,Base Program Rebate,170.45
TXN-100299,1064,105,2024-09-30,Base Program Rebate,571.56
TXN-100300,1026,104,2024-03-01,Base Program Rebate,595.51
TXN-100300,1026,104,2024-03-01,Q4 Promotional Tier Bonus,238.2
TXN-100301,1052,104,2025-05-16,Base Program Rebate,87.45
TXN-100302,1016,101,2025-02-16,Base Program Rebate,310.58
TXN-100303,1114,103,2025-08-18,Base Program Rebate,3.98
TXN-100304,1105,103,2024-03-05,Base Program Rebate,477.91762345
TXN-100305,1116,103,2024-11-26,Base Program Rebate,497.44
TXN-100306,1114,103,2025-11-29,Base Program Rebate,457.95
TXN-100307,1004,101,2024-06-10,Base Program Rebate,266.16862345
TXN-100308,1148,102,2025-10-27,Base Program Rebate,182.86
TXN-100308,1148,102,2025-10-27,Q4 Promotional Tier Bonus,73.15
TXN-100309,1144,102,2024-02-23,Base Program Rebate,239.31
TXN-100310,1140,101,2025-12-21,Base Program Rebate,59.37
TXN-100311,1121,104,2024-01-10,Base Program Rebate,7.32
TXN-100312,1148,102,2025-05-04,Base Program Rebate,44.82
TXN-100313,1071,103,2024-11-02,Base Program Rebate,84.44
TXN-100314,1146,102,2024-03-11,Base Program Rebate,319.48
TXN-100315,1045,102,2025-02-25,Base Program Rebate,370.61
TXN-100316,1026,101,2025-08-26,Base Program Rebate,438.68
TXN-100317,1052,103,2025-10-22,Base Program Rebate,52.84
TXN-100318,1148,101,2025-11-05,Base Program Rebate,525.81
TXN-100319,1090,103,2025-10-23,Base Program Rebate,35.10512345
TXN-100319,1090,103,2025-10-23,Q4 Promotional Tier Bonus,14.04
TXN-100320,1131,101,2025-06-24,Base Program Rebate,533.51
TXN-100321,1088,105,2025-03-06,Base Program Rebate,220.83
TXN-100322,1016,101,2025-08-24,Base Program Rebate,42.85
TXN-100323,1090,105,2024-10-20,Base Program Rebate,378.07
TXN-100324,1017,105,2025-07-04,Base Program Rebate,370.59
TXN-100325,1041,102,2025-07-03,Base Program Rebate,197.73
TXN-100326,1139,101,2024-11-13,Base Program Rebate,419.96
TXN-100327,1018,104,2024-04-28,Base Program Rebate,273.39
TXN-100328,1037,101,2024-01-13,Base Program Rebate,425.47
TXN-100329,1121,105,2026-03-12,Base Program Rebate,493.95
TXN-100330,1057,101,2026-02-28,Base Program Rebate,540.19
TXN-100331,1055,105,2025-10-04,Base Program Rebate,48.55
TXN-100332,1127,102,2025-01-11,Base Program Rebate,96.49
TXN-100333,1022,102,2026-01-28,Base Program Rebate,306.52
TXN-100334,1112,103,2025-01-27,Base Program Rebate,552.3356234500001
TXN-100335,1140,104,2024-08-17,Base Program Rebate,194.78
TXN-100336,1016,105,2025-01-16,Base Program Rebate,73.84
TXN-100337,1121,101,2025-02-14,Base Program Rebate,43.68
TXN-100338,1072,101,2025-07-20,Base Program Rebate,275.41
TXN-100339,1136,102,2025-04-20,Base Program Rebate,222.54362344999998
TXN-100339,1136,102,2025-04-20,Q4 Promotional Tier Bonus,89.02
TXN-100340,1052,102,2024-01-07,Base Program Rebate,559.61
TXN-100341,1148,101,2024-12-09,Base Program Rebate,3.37
TXN-100342,1021,102,2025-06-26,Base Program Rebate,589.9116234500001
TXN-100343,1029,103,2024-04-05,Base Program Rebate,28.73
TXN-100344,1086,104,2026-02-04,Base Program Rebate,53.23
TXN-100345,1016,105,2025-08-04,Base Program Rebate,39.71
TXN-100346,1071,104,2025-12-18,Base Program Rebate,499.56
TXN-100347,1040,102,2026-03-09,Base Program Rebate,462.66
TXN-100348,1071,104,2024-05-03,Base Program Rebate,322.72
TXN-100348,1071,104,2024-05-03,Q4 Promotional Tier Bonus,129.09
TXN-100349,1034,103,2026-04-26,Base Program Rebate,423.56
TXN-100350,1029,101,2025-12-29,Base Program Rebate,150.81
TXN-100351,1055,102,2024-02-01,Base Program Rebate,571.38
TXN-100351,1055,102,2024-02-01,Q4 Promotional Tier Bonus,228.55
TXN-100352,1026,101,2024-01-13,Base Program Rebate,39.35
TXN-100353,1092,103,2025-12-03,Base Program Rebate,379.1
TXN-100354,1016,101,2024-03-07,Base Program Rebate,120.66
TXN-100355,1073,101,2024-02-13,Base Program Rebate,565.51
TXN-100356,1090,104,2024-01-31,Base Program Rebate,231.18
TXN-100357,1058,103,2025-04-01,Base Program Rebate,530.35
TXN-100358,1064,104,2025-02-25,Base Program Rebate,529.96
TXN-100359,1096,102,2025-10-20,Base Program Rebate,531.08
TXN-100360,1004,104,2026-03-11,Base Program Rebate,428.74
TXN-100361,1127,105,2024-11-25,Base Program Rebate,234.56
TXN-100362,1058,101,2026-04-08,Return Credit / Adjustment Note,-594.94
TXN-100363,1034,101,2024-09-10,Base Program Rebate,394.98
TXN-100364,1013,102,2025-08-12,Base Program Rebate,508.29
TXN-100365,1037,102,2024-08-30,Base Program Rebate,356.53
TXN-100366,1005,103,2025-08-04,Return Credit / Adjustment Note,-339.26
TXN-100367,1116,105,2024-11-12,Base Program Rebate,107.4
TXN-100368,1004,105,2025-05-04,Base Program Rebate,2.91
TXN-100368,1004,105,2025-05-04,Q4 Promotional Tier Bonus,1.16
TXN-100369,1072,101,2024-01-23,Base Program Rebate,90.76
