affiliate_id,affiliate_name,anomaly_type,latest_month,latest_amount,historical_avg,decline_pct,months_since_last_activity,gap_amount,feed_health_status,severity
1043,Carlsonfurt Auto Body,Never Active,,,,,,,,Medium
1044,Carlsonmouth Auto Body,Never Active,,,,,,,,Medium
1047,Mack Collision Center,Never Active,,,,,,,,Medium
1048,Danielchester Auto Body,Never Active,,,,,,,,Medium
1051,New Rita Auto Body,Never Active,,,,,,,,Medium
1054,West Kathryn Auto Body,Never Active,,,,,,,,Medium
1056,Osborne Collision Center,Never Active,,,,,,,,Medium
1057,New Mariotown Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1059,Allen Collision Center,Never Active,,,,,,,,Medium
1060,New Stacey Auto Body,Never Active,,,,,,,,Medium
1062,Spence Collision Center,Never Active,,,,,,,,Medium
1063,East Donna Auto Body,Never Active,,,,,,,,Medium
1065,Obrien Collision Center,Never Active,,,,,,,,Medium
1066,New Karina Auto Body,Never Active,,,,,,,,Medium
1067,Lake Larry Auto Body,Never Active,,,,,,,,Medium
1069,Martinezbury Auto Body,Never Active,,,,,,,,Medium
1076,Elizabethborough Auto Body,Never Active,,,,,,,,Medium
1077,Lake Selena Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1078,Duncan Collision Center,Never Active,,,,,,,,Medium
1079,Sanchezfort Auto Body,Never Active,,,,,,,,Medium
1080,Leeville Auto Body,Never Active,,,,,,,,Medium
1082,Owens Collision Center,Never Active,,,,,,,,Medium
1083,Lake Deniseville Auto Body,Never Active,,,,,,,,Medium
1084,South Jessicaville Auto Body,Never Active,,,,,,,,Medium
1085,East James Auto Body,Never Active,,,,,,,,Medium
1088,Ramos Collision Center,Dormant,2026-03,,,,1.0,,,Medium
1089,North Deniseside Auto Body,Never Active,,,,,,,,Medium
1091,Port Melindaburgh Auto Body,Never Active,,,,,,,,Medium
1094,Smithfurt Auto Body,Never Active,,,,,,,,Medium
1095,Saramouth Auto Body,Never Active,,,,,,,,Medium
1096,Mitchell Collision Center,Dormant,2026-02,,,,2.0,,,Medium
1097,Mooreport Auto Body,Never Active,,,,,,,,Medium
1100,Shawhaven Auto Body,Never Active,,,,,,,,Medium
1102,Port Jacobland Auto Body,Never Active,,,,,,,,Medium
1103,Leonard Collision Center,Never Active,,,,,,,,Medium
1105,New Johnton Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1106,South Dianeshire Auto Body,Never Active,,,,,,,,Medium
1107,Mills Collision Center,Never Active,,,,,,,,Medium
1108,Jamesmouth Auto Body,Never Active,,,,,,,,Medium
1109,West Randy Auto Body,Never Active,,,,,,,,Medium
1110,Stephenland Auto Body,Never Active,,,,,,,,Medium
1112,North Amandahaven Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1113,Davidstad Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1115,West Justin Auto Body,Never Active,,,,,,,,Medium
1118,Lake Lisaport Auto Body,Never Active,,,,,,,,Medium
1119,East Josephville Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1120,Newton Collision Center,Never Active,,,,,,,,Medium
1129,Jones Collision Center,Dormant,2026-03,,,,1.0,,,Medium
1134,Fitzpatrick Collision Center,Never Active,,,,,,,,Medium
1135,West Jasonbury Auto Body,Never Active,,,,,,,,Medium
1137,East Michelle Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1138,South Angel Auto Body,Dormant,2026-03,,,,1.0,,,Medium
1142,South Monicafort Auto Body,Never Active,,,,,,,,Medium
1143,East Lisa Auto Body,Never Active,,,,,,,,Medium
1145,Loribury Auto Body,Never Active,,,,,,,,Medium
1149,Michaelhaven Auto Body,Never Active,,,,,,,,Medium
,Apex Supply Co,Partner Feed Issue,2024-08,10554.12,,,,,Possible Partial Feed.,Medium
,Apex Supply Co,Partner Feed Issue,2025-03,8147.68,,,,,Possible Partial Feed.,Medium
,Apex Supply Co,Partner Feed Issue,2025-06,8075.43,,,,,Possible Partial Feed.,Medium
,Apex Supply Co,Partner Feed Issue,2025-11,9903.38,,,,,Possible Partial Feed.,Medium
,Matrix Parts Group,Partner Feed Issue,2024-06,6233.95,,,,,Possible Partial Feed.,Medium
,Matrix Parts Group,Partner Feed Issue,2024-09,9373.1,,,,,Possible Partial Feed.,Medium
,Matrix Parts Group,Partner Feed Issue,2024-12,9389.89,,,,,Possible Partial Feed.,Medium
,Matrix Parts Group,Partner Feed Issue,2025-01,8536.16,,,,,Possible Partial Feed.,Medium
,Matrix Parts Group,Partner Feed Issue,2025-09,7532.32,,,,,Possible Partial Feed.,Medium
,Vertex Finishings,Partner Feed Issue,2024-02,7251.76,,,,,Possible Partial Feed.,Medium
,Vertex Finishings,Partner Feed Issue,2024-06,8916.32,,,,,Possible Partial Feed.,Medium
,Vertex Finishings,Partner Feed Issue,2025-02,7858.08,,,,,Possible Partial Feed.,Medium
,Vertex Finishings,Partner Feed Issue,2025-06,7065.74,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2024-02,6317.41,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2025-02,9693.44,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2025-05,8863.38,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2025-08,7528.06,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2025-10,8797.29,,,,,Possible Partial Feed.,Medium
,Beacon Materials,Partner Feed Issue,2026-01,7087.98,,,,,Possible Partial Feed.,Medium
,Titan Logistics,Partner Feed Issue,2024-11,4022.6,,,,,Possible Partial Feed.,Medium
,Titan Logistics,Partner Feed Issue,2025-07,7116.82,,,,,Possible Partial Feed.,Medium
,Titan Logistics,Partner Feed Issue,2025-08,9733.98,,,,,Possible Partial Feed.,Medium
1001,North Judithbury Auto Body,Negative Rebate Amount,2025-11,-114.27,,,,,,Low
1003,Lake Joyside Auto Body,Negative Rebate Amount,2024-08,-75.56,,,,,,Low
1003,Lake Joyside Auto Body,Negative Rebate Amount,2025-04,-144.23,,,,,,Low
1006,New Carolyn Auto Body,Negative Rebate Amount,2024-04,-56.57,,,,,,Low
1006,New Carolyn Auto Body,Negative Rebate Amount,2025-03,-460.73,,,,,,Low
1013,Port Matthew Auto Body,Negative Rebate Amount,2024-12,-100.31,,,,,,Low
1018,Barbaraland Auto Body,Negative Rebate Amount,2025-11,-501.99,,,,,,Low
1021,Port Craig Auto Body,Negative Rebate Amount,2024-11,-65.96,,,,,,Low
1025,New Jessica Auto Body,Negative Rebate Amount,2024-03,-26.37,,,,,,Low
1026,Martin Collision Center,Negative Rebate Amount,2026-02,-326.98,,,,,,Low
1034,Wilkersonmouth Auto Body,Negative Rebate Amount,2025-12,-410.4,,,,,,Low
1036,Taylor Collision Center,Negative Rebate Amount,2025-12,-371.71,,,,,,Low
1040,Hicks Collision Center,Negative Rebate Amount,2025-10,-53.01,,,,,,Low
1041,Port Brandonville Auto Body,Negative Rebate Amount,2025-06,-401.64,,,,,,Low
1053,Lynch Collision Center,Negative Rebate Amount,2025-04,-462.18,,,,,,Low
1053,Lynch Collision Center,Negative Rebate Amount,2025-11,-256.01,,,,,,Low
1055,Ryan Collision Center,Negative Rebate Amount,2024-06,-528.88,,,,,,Low
1055,Ryan Collision Center,Negative Rebate Amount,2024-10,-52.07,,,,,,Low
1058,West Natashaport Auto Body,Negative Rebate Amount,2025-07,-34.32,,,,,,Low
1064,West Allison Auto Body,Negative Rebate Amount,2025-03,-158.19,,,,,,Low
1072,Robinson Collision Center,Negative Rebate Amount,2025-12,-113.02,,,,,,Low
1073,Jones Collision Center,Negative Rebate Amount,2024-01,-60.28,,,,,,Low
1074,East Carloston Auto Body,Negative Rebate Amount,2025-07,-70.66,,,,,,Low
1090,Huff Collision Center,Negative Rebate Amount,2024-11,-352.9,,,,,,Low
1090,Huff Collision Center,Negative Rebate Amount,2026-03,-350.57,,,,,,Low
1098,North Beth Auto Body,Negative Rebate Amount,2025-10,-20.62,,,,,,Low
1099,Lake Leeton Auto Body,Negative Rebate Amount,2024-02,-96.87,,,,,,Low
1111,South Christineshire Auto Body,Negative Rebate Amount,2024-08,-292.87,,,,,,Low
1117,Carr Collision Center,Negative Rebate Amount,2024-05,-300.01,,,,,,Low
1125,North Cynthiaview Auto Body,Negative Rebate Amount,2024-05,-120.17,,,,,,Low
1126,North Matthewberg Auto Body,Negative Rebate Amount,2024-11,-597.92,,,,,,Low
1127,Evanmouth Auto Body,Negative Rebate Amount,2025-02,-3.29,,,,,,Low
1128,Hoffmanville Auto Body,Negative Rebate Amount,2024-08,-528.68,,,,,,Low
1131,Brandiberg Auto Body,Negative Rebate Amount,2024-12,-750.37,,,,,,Low
1132,Andersonport Auto Body,Negative Rebate Amount,2025-03,-175.52,,,,,,Low
1136,West Kimberlychester Auto Body,Negative Rebate Amount,2024-01,-136.35,,,,,,Low
1139,Doyle Collision Center,Negative Rebate Amount,2024-06,-448.77,,,,,,Low
1139,Doyle Collision Center,Negative Rebate Amount,2025-03,-533.84,,,,,,Low
1141,West Erik Auto Body,Negative Rebate Amount,2026-04,-84.25,,,,,,Low
1058,,Reconciliation Gap,2024-09,450.91,,,,,,Medium
1116,,Reconciliation Gap,2024-07,293.81,,,,,,Medium
1131,,Reconciliation Gap,2025-07,8.57,,,,,,Medium
1131,,Reconciliation Gap,2025-07,3.43,,,,,,Medium
1148,,Reconciliation Gap,2025-10,427.83,,,,,,Medium
1092,,Reconciliation Gap,2024-11,399.22,,,,,,Medium
1125,,Reconciliation Gap,2024-12,422.46,,,,,,Medium
1039,,Reconciliation Gap,2024-05,446.37,,,,,,Medium
1039,,Reconciliation Gap,2024-05,178.55,,,,,,Medium
1130,,Reconciliation Gap,2025-09,171.59,,,,,,Medium
1037,,Reconciliation Gap,2024-01,425.54,,,,,,Medium
1064,,Reconciliation Gap,2025-10,521.41,,,,,,Medium
1112,,Reconciliation Gap,2025-03,206.07,,,,,,Medium
1112,,Reconciliation Gap,2025-03,82.43,,,,,,Medium
1114,,Reconciliation Gap,2025-08,378.59,,,,,,Medium
1068,,Reconciliation Gap,2024-09,73.28,,,,,,Medium
1046,,Reconciliation Gap,2025-01,-271.68,,,,,,Medium
1070,,Reconciliation Gap,2025-09,38.49,,,,,,Medium
1070,,Reconciliation Gap,2025-09,15.39,,,,,,Medium
1017,,Reconciliation Gap,2024-09,106.35,,,,,,Medium
1131,,Reconciliation Gap,2024-10,22.0,,,,,,Medium
1016,,Reconciliation Gap,2024-09,473.23,,,,,,Medium
1098,,Reconciliation Gap,2025-07,136.82,,,,,,Medium
1013,,Reconciliation Gap,2026-03,186.3,,,,,,Medium
1024,,Reconciliation Gap,2025-12,184.19,,,,,,Medium
1101,,Reconciliation Gap,2025-09,26.32,,,,,,Medium
1018,,Reconciliation Gap,2025-11,-501.99,,,,,,Medium
1146,,Reconciliation Gap,2025-08,26.54,,,,,,Medium
1058,,Reconciliation Gap,2025-08,262.94,,,,,,Medium
1093,,Reconciliation Gap,2024-11,402.91,,,,,,Medium
1093,,Reconciliation Gap,2024-11,161.16,,,,,,Medium
1125,,Reconciliation Gap,2025-04,55.12,,,,,,Medium
1119,,Reconciliation Gap,2025-11,521.95,,,,,,Medium
1136,,Reconciliation Gap,2025-10,266.62,,,,,,Medium
1061,,Reconciliation Gap,2025-12,292.12,,,,,,Medium
1034,,Reconciliation Gap,2025-07,10.67,,,,,,Medium
1022,,Reconciliation Gap,2024-04,389.51,,,,,,Medium
1057,,Reconciliation Gap,2025-05,588.2,,,,,,Medium
1131,,Reconciliation Gap,2026-02,527.9,,,,,,Medium
1131,,Reconciliation Gap,2026-02,211.16,,,,,,Medium
1117,,Reconciliation Gap,2026-04,4.03,,,,,,Medium
1141,,Reconciliation Gap,2024-06,269.31,,,,,,Medium
1087,,Reconciliation Gap,2024-11,522.09,,,,,,Medium
1087,,Reconciliation Gap,2024-11,208.83,,,,,,Medium
1071,,Reconciliation Gap,2025-12,548.27,,,,,,Medium
1140,,Reconciliation Gap,2025-05,578.98,,,,,,Medium
1019,,Reconciliation Gap,2024-04,316.76,,,,,,Medium
1140,,Reconciliation Gap,2024-03,283.02,,,,,,Medium
1140,,Reconciliation Gap,2024-03,113.21,,,,,,Medium
1146,,Reconciliation Gap,2025-01,572.6,,,,,,Medium
1124,,Reconciliation Gap,2025-09,-43.38,,,,,,Medium
1018,,Reconciliation Gap,2024-04,456.82,,,,,,Medium
1068,,Reconciliation Gap,2024-02,196.31,,,,,,Medium
1052,,Reconciliation Gap,2025-02,340.64,,,,,,Medium
1087,,Reconciliation Gap,2025-11,146.4,,,,,,Medium
1087,,Reconciliation Gap,2025-11,58.56,,,,,,Medium
1003,,Reconciliation Gap,2024-10,407.37,,,,,,Medium
1130,,Reconciliation Gap,2025-10,577.31,,,,,,Medium
1088,,Reconciliation Gap,2024-04,-144.23,,,,,,Medium
1064,,Reconciliation Gap,2026-04,395.79,,,,,,Medium
1010,,Reconciliation Gap,2026-02,299.29,,,,,,Medium
1010,,Reconciliation Gap,2026-02,119.72,,,,,,Medium
1138,,Reconciliation Gap,2025-09,152.25,,,,,,Medium
1026,,Reconciliation Gap,2025-10,388.69,,,,,,Medium
1025,,Reconciliation Gap,2024-10,197.71,,,,,,Medium
1081,,Reconciliation Gap,2025-05,548.31,,,,,,Medium
1113,,Reconciliation Gap,2026-02,522.56,,,,,,Medium
1046,,Reconciliation Gap,2026-04,335.49,,,,,,Medium
1024,,Reconciliation Gap,2025-01,404.52,,,,,,Medium
1086,,Reconciliation Gap,2025-11,142.21,,,,,,Medium
1133,,Reconciliation Gap,2025-10,40.27,,,,,,Medium
1093,,Reconciliation Gap,2024-05,29.59,,,,,,Medium
1050,,Reconciliation Gap,2024-05,234.72,,,,,,Medium
1124,,Reconciliation Gap,2025-08,446.01,,,,,,Medium
1114,,Reconciliation Gap,2025-02,563.58,,,,,,Medium
1101,,Reconciliation Gap,2025-01,61.86,,,,,,Medium
1077,,Reconciliation Gap,2025-02,167.34,,,,,,Medium
1077,,Reconciliation Gap,2025-02,66.94,,,,,,Medium
1138,,Reconciliation Gap,2024-01,32.72,,,,,,Medium
1041,,Reconciliation Gap,2026-04,459.68,,,,,,Medium
1073,,Reconciliation Gap,2026-03,540.57,,,,,,Medium
1025,,Reconciliation Gap,2024-09,479.61,,,,,,Medium
1077,,Reconciliation Gap,2025-08,195.95,,,,,,Medium
1122,,Reconciliation Gap,2026-02,40.48,,,,,,Medium
1104,,Reconciliation Gap,2024-08,567.39,,,,,,Medium
1121,,Reconciliation Gap,2025-04,386.9,,,,,,Medium
1098,,Reconciliation Gap,2025-05,428.16,,,,,,Medium
1029,,Reconciliation Gap,2024-05,166.82,,,,,,Medium
1131,,Reconciliation Gap,2024-10,273.59,,,,,,Medium
1140,,Reconciliation Gap,2026-01,519.63,,,,,,Medium
1105,,Reconciliation Gap,2025-03,438.44,,,,,,Medium
1033,,Reconciliation Gap,2024-03,57.01,,,,,,Medium
1086,,Reconciliation Gap,2025-07,38.34,,,,,,Medium
1086,,Reconciliation Gap,2025-07,15.34,,,,,,Medium
1098,,Reconciliation Gap,2024-10,361.25,,,,,,Medium
1141,,Reconciliation Gap,2024-08,508.75,,,,,,Medium
1058,,Reconciliation Gap,2024-08,484.82,,,,,,Medium
1133,,Reconciliation Gap,2024-01,366.37,,,,,,Medium
1057,,Reconciliation Gap,2024-12,212.24,,,,,,Medium
1015,,Reconciliation Gap,2026-01,380.82,,,,,,Medium
1096,,Reconciliation Gap,2024-12,96.55,,,,,,Medium
1131,,Reconciliation Gap,2024-02,95.46,,,,,,Medium
1101,,Reconciliation Gap,2025-05,365.23,,,,,,Medium
1075,,Reconciliation Gap,2024-04,171.74,,,,,,Medium
1008,,Reconciliation Gap,2025-02,590.71,,,,,,Medium
1026,,Reconciliation Gap,2024-10,198.55,,,,,,Medium
1087,,Reconciliation Gap,2025-12,139.99,,,,,,Medium
1090,,Reconciliation Gap,2025-03,13.7,,,,,,Medium
1090,,Reconciliation Gap,2025-03,5.48,,,,,,Medium
1096,,Reconciliation Gap,2024-04,244.51,,,,,,Medium
1096,,Reconciliation Gap,2024-04,97.8,,,,,,Medium
1081,,Reconciliation Gap,2025-03,507.08,,,,,,Medium
1090,,Reconciliation Gap,2026-02,205.36,,,,,,Medium
1022,,Reconciliation Gap,2025-06,118.36,,,,,,Medium
1139,,Reconciliation Gap,2024-08,63.93,,,,,,Medium
1140,,Reconciliation Gap,2024-06,570.9,,,,,,Medium
1129,,Reconciliation Gap,2025-11,554.68,,,,,,Medium
1137,,Reconciliation Gap,2024-06,265.26,,,,,,Medium
1130,,Reconciliation Gap,2024-12,305.63,,,,,,Medium
1061,,Reconciliation Gap,2025-10,518.89,,,,,,Medium
1061,,Reconciliation Gap,2025-10,207.56,,,,,,Medium
1008,,Reconciliation Gap,2026-04,344.07,,,,,,Medium
1013,,Reconciliation Gap,2024-04,487.05,,,,,,Medium
1139,,Reconciliation Gap,2024-02,150.53,,,,,,Medium
1034,,Reconciliation Gap,2025-01,550.97,,,,,,Medium
1010,,Reconciliation Gap,2024-03,199.49,,,,,,Medium
1141,,Reconciliation Gap,2024-06,201.68,,,,,,Medium
1140,,Reconciliation Gap,2024-05,358.04,,,,,,Medium
1140,,Reconciliation Gap,2024-05,143.21,,,,,,Medium
1144,,Reconciliation Gap,2024-04,388.5,,,,,,Medium
1038,,Reconciliation Gap,2024-12,568.73,,,,,,Medium
1016,,Reconciliation Gap,2026-03,62.93,,,,,,Medium
1006,,Reconciliation Gap,2026-02,371.77,,,,,,Medium
1148,,Reconciliation Gap,2026-04,541.84,,,,,,Medium
1050,,Reconciliation Gap,2025-09,172.74,,,,,,Medium
1070,,Reconciliation Gap,2024-07,222.29,,,,,,Medium
1070,,Reconciliation Gap,2024-07,88.91,,,,,,Medium
1122,,Reconciliation Gap,2024-06,490.59,,,,,,Medium
1139,,Reconciliation Gap,2025-01,333.84,,,,,,Medium
1061,,Reconciliation Gap,2026-02,98.29,,,,,,Medium
1018,,Reconciliation Gap,2026-04,272.05,,,,,,Medium
1117,,Reconciliation Gap,2024-08,233.23,,,,,,Medium
1019,,Reconciliation Gap,2026-03,89.76,,,,,,Medium
1026,,Reconciliation Gap,2025-04,370.17,,,,,,Medium
1026,,Reconciliation Gap,2025-04,148.07,,,,,,Medium
1132,,Reconciliation Gap,2025-03,68.93,,,,,,Medium
1096,,Reconciliation Gap,2025-04,40.03,,,,,,Medium
1137,,Reconciliation Gap,2025-08,147.06,,,,,,Medium
1050,,Reconciliation Gap,2025-03,114.42,,,,,,Medium
1122,,Reconciliation Gap,2025-06,472.38,,,,,,Medium
1008,,Reconciliation Gap,2025-01,154.06,,,,,,Medium
1141,,Reconciliation Gap,2026-03,350.19,,,,,,Medium
1074,,Reconciliation Gap,2026-04,468.04,,,,,,Medium
1026,,Reconciliation Gap,2026-01,466.27,,,,,,Medium
1040,,Reconciliation Gap,2024-11,560.19,,,,,,Medium
1053,,Reconciliation Gap,2026-02,389.02,,,,,,Medium
1140,,Reconciliation Gap,2024-10,76.87,,,,,,Medium
1088,,Reconciliation Gap,2024-07,298.98,,,,,,Medium
1017,,Reconciliation Gap,2024-03,259.79,,,,,,Medium
1017,,Reconciliation Gap,2024-03,103.92,,,,,,Medium
1064,,Reconciliation Gap,2025-04,362.57,,,,,,Medium
1008,,Reconciliation Gap,2025-09,598.9,,,,,,Medium
1016,,Reconciliation Gap,2025-01,309.07,,,,,,Medium
1132,,Reconciliation Gap,2024-02,77.92,,,,,,Medium
1127,,Reconciliation Gap,2025-09,94.18,,,,,,Medium
1016,,Reconciliation Gap,2024-05,318.85,,,,,,Medium
1022,,Reconciliation Gap,2026-01,113.66,,,,,,Medium
1055,,Reconciliation Gap,2024-08,597.83,,,,,,Medium
1024,,Reconciliation Gap,2024-03,272.6,,,,,,Medium
1024,,Reconciliation Gap,2024-03,109.04,,,,,,Medium
1071,,Reconciliation Gap,2025-12,41.3,,,,,,Medium
1150,,Reconciliation Gap,2026-03,218.49,,,,,,Medium
1050,,Reconciliation Gap,2024-01,-218.14,,,,,,Medium
1025,,Reconciliation Gap,2024-03,41.78,,,,,,Medium
1093,,Reconciliation Gap,2026-04,346.0,,,,,,Medium
1111,,Reconciliation Gap,2024-12,79.18,,,,,,Medium
1025,,Reconciliation Gap,2025-05,546.65,,,,,,Medium
1036,,Reconciliation Gap,2024-11,561.01,,,,,,Medium
1061,,Reconciliation Gap,2024-09,119.79,,,,,,Medium
1061,,Reconciliation Gap,2024-09,47.92,,,,,,Medium
1139,,Reconciliation Gap,2025-08,565.11,,,,,,Medium
1132,,Reconciliation Gap,2025-07,27.11,,,,,,Medium
1132,,Reconciliation Gap,2025-07,10.85,,,,,,Medium
1041,,Reconciliation Gap,2025-03,371.82,,,,,,Medium
1139,,Reconciliation Gap,2025-05,148.81,,,,,,Medium
1148,,Reconciliation Gap,2024-06,265.16,,,,,,Medium
1071,,Reconciliation Gap,2026-01,592.84,,,,,,Medium
1119,,Reconciliation Gap,2024-04,193.17,,,,,,Medium
1019,,Reconciliation Gap,2024-10,567.37,,,,,,Medium
1019,,Reconciliation Gap,2024-10,226.95,,,,,,Medium
1128,,Reconciliation Gap,2024-07,458.46,,,,,,Medium
1070,,Reconciliation Gap,2024-01,56.3,,,,,,Medium
1129,,Reconciliation Gap,2024-02,32.7,,,,,,Medium
1112,,Reconciliation Gap,2025-07,7.39,,,,,,Medium
1081,,Reconciliation Gap,2025-01,29.53,,,,,,Medium
1061,,Reconciliation Gap,2025-01,-303.79,,,,,,Medium
1147,,Reconciliation Gap,2024-05,-79.38,,,,,,Medium
1126,,Reconciliation Gap,2026-02,88.7,,,,,,Medium
1006,,Reconciliation Gap,2025-12,201.49,,,,,,Medium
1119,,Reconciliation Gap,2024-12,558.99,,,,,,Medium
1068,,Reconciliation Gap,2024-12,305.62,,,,,,Medium
1112,,Reconciliation Gap,2025-01,200.42,,,,,,Medium
1148,,Reconciliation Gap,2025-09,286.07,,,,,,Medium
1148,,Reconciliation Gap,2025-09,114.43,,,,,,Medium
1129,,Reconciliation Gap,2024-06,315.73,,,,,,Medium
1147,,Reconciliation Gap,2024-02,344.61,,,,,,Medium
1096,,Reconciliation Gap,2025-02,415.07,,,,,,Medium
1013,,Reconciliation Gap,2025-06,126.39,,,,,,Medium
1071,,Reconciliation Gap,2025-04,547.49,,,,,,Medium
1147,,Reconciliation Gap,2025-09,291.8,,,,,,Medium
1147,,Reconciliation Gap,2025-09,-116.72,,,,,,Medium
1061,,Reconciliation Gap,2025-12,423.73,,,,,,Medium
1058,,Reconciliation Gap,2024-05,345.15,,,,,,Medium
1075,,Reconciliation Gap,2024-10,27.63,,,,,,Medium
1075,,Reconciliation Gap,2024-10,11.05,,,,,,Medium
1045,,Reconciliation Gap,2026-04,324.3,,,,,,Medium
1045,,Reconciliation Gap,2026-04,129.72,,,,,,Medium
1052,,Reconciliation Gap,2025-11,543.35,,,,,,Medium
1073,,Reconciliation Gap,2024-04,409.51,,,,,,Medium
1034,,Reconciliation Gap,2025-10,561.18,,,,,,Medium
1034,,Reconciliation Gap,2025-10,224.47,,,,,,Medium
1139,,Reconciliation Gap,2026-02,55.95,,,,,,Medium
1006,,Reconciliation Gap,2025-03,-529.64,,,,,,Medium
1090,,Reconciliation Gap,2024-07,562.12,,,,,,Medium
1090,,Reconciliation Gap,2024-07,224.85,,,,,,Medium
1021,,Reconciliation Gap,2024-10,273.97,,,,,,Medium
1026,,Reconciliation Gap,2025-04,165.52,,,,,,Medium
1139,,Reconciliation Gap,2026-01,113.75,,,,,,Medium
1039,,Reconciliation Gap,2025-09,514.05,,,,,,Medium
1039,,Reconciliation Gap,2025-09,205.62,,,,,,Medium
1038,,Reconciliation Gap,2025-05,195.85,,,,,,Medium
1057,,Reconciliation Gap,2024-11,350.52,,,,,,Medium
1050,,Reconciliation Gap,2025-11,73.14,,,,,,Medium
1070,,Reconciliation Gap,2025-10,549.89,,,,,,Medium
1026,,Reconciliation Gap,2024-06,274.35,,,,,,Medium
1026,,Reconciliation Gap,2024-06,109.74,,,,,,Medium
1144,,Reconciliation Gap,2026-02,150.36,,,,,,Medium
1104,,Reconciliation Gap,2025-12,218.67,,,,,,Medium
1104,,Reconciliation Gap,2025-12,87.47,,,,,,Medium
1123,,Reconciliation Gap,2024-06,198.55,,,,,,Medium
1129,,Reconciliation Gap,2024-04,539.59,,,,,,Medium
1096,,Reconciliation Gap,2025-07,37.0,,,,,,Medium
1090,,Reconciliation Gap,2026-04,4.3,,,,,,Medium
1150,,Reconciliation Gap,2025-07,596.49,,,,,,Medium
1150,,Reconciliation Gap,2025-07,238.6,,,,,,Medium
1026,,Reconciliation Gap,2025-01,595.73,,,,,,Medium
1087,,Reconciliation Gap,2025-11,578.58,,,,,,Medium
1087,,Reconciliation Gap,2025-11,-231.43,,,,,,Medium
1090,,Reconciliation Gap,2024-05,437.39,,,,,,Medium
1068,,Reconciliation Gap,2025-11,432.16,,,,,,Medium
1105,,Reconciliation Gap,2024-06,167.2,,,,,,Medium
1105,,Reconciliation Gap,2024-06,66.88,,,,,,Medium
1004,,Reconciliation Gap,2024-07,42.71,,,,,,Medium
1010,,Reconciliation Gap,2026-01,28.93,,,,,,Medium
1013,,Reconciliation Gap,2025-05,596.11,,,,,,Medium
1128,,Reconciliation Gap,2026-03,404.34,,,,,,Medium
1141,,Reconciliation Gap,2024-08,249.6,,,,,,Medium
