affiliate_id,partner_id,rebate_month,expected_amount,actual_amount,gap_amount
1053,101,2026-02,,389.02,
1140,103,2024-10,,76.87,
1088,103,2024-07,,298.98,
1017,104,2024-03,,259.79,
1017,104,2024-03,,103.92,
1064,103,2025-04,,362.57,
1008,103,2025-09,,598.89512345,
1016,104,2025-01,,309.07,
1132,104,2024-02,,77.92,
1127,101,2025-09,,94.18,
1016,105,2024-05,,318.85,
1022,101,2026-01,,113.66,
1055,104,2024-08,,597.83,
1024,102,2024-03,,272.6,
1024,102,2024-03,,109.04,
1071,103,2025-12,,41.3,
1150,102,2026-03,,218.49162345,
1050,104,2024-01,,-218.14,
1025,105,2024-03,,41.78,
1093,104,2026-04,,346.0,
1111,105,2024-12,,79.18,
1025,104,2025-05,,546.65,
1036,102,2024-11,,561.01,
1061,101,2024-09,,119.79,
1061,101,2024-09,,47.92,
1139,102,2025-08,,565.11,
1132,103,2025-07,,27.11,
1132,103,2025-07,,10.85,
1041,105,2025-03,,371.82,
1139,103,2025-05,,148.81,
1148,101,2024-06,,265.16,
1071,103,2026-01,,592.84,
1119,105,2024-04,,193.17,
1019,101,2024-10,,567.37,
1019,101,2024-10,,226.95,
1128,103,2024-07,,458.46,
1070,104,2024-01,,56.3,
1129,103,2024-02,,32.7,
1112,103,2025-07,,7.39,
1081,104,2025-01,,29.53,
1061,101,2025-01,,-303.79,
1147,105,2024-05,,-79.38,
1126,103,2026-02,,88.7,
1006,102,2025-12,,201.49,
1119,102,2024-12,,558.99,
1068,105,2024-12,,305.62,
1112,101,2025-01,,200.42,
1148,101,2025-09,,286.07,
1148,101,2025-09,,114.43,
1129,104,2024-06,,315.73,
1147,102,2024-02,,344.61,
1096,102,2025-02,,415.07,
1013,102,2025-06,,126.39,
1071,102,2025-04,,547.49,
1147,103,2025-09,,291.8,
1147,103,2025-09,,-116.72,
1061,102,2025-12,,423.73,
1058,103,2024-05,,345.15,
1075,102,2024-10,,27.63,
1075,102,2024-10,,11.05,
1045,102,2026-04,,324.3,
1045,102,2026-04,,129.72,
1052,101,2025-11,,543.35,
1073,104,2024-04,,409.51212345,
1034,104,2025-10,,561.18,
1034,104,2025-10,,224.47272345,
1139,101,2026-02,,55.95,
1006,102,2025-03,,-529.64,
1090,104,2024-07,,562.12,
1090,104,2024-07,,224.85,
1021,103,2024-10,,273.97,
1026,105,2025-04,,165.52,
1139,103,2026-01,,113.75,
1039,102,2025-09,,514.05,
1039,102,2025-09,,205.62,
1038,102,2025-05,,195.85,
1057,103,2024-11,,350.52,
1050,101,2025-11,,73.14,
1070,101,2025-10,,549.89,
1026,104,2024-06,,274.35,
1026,104,2024-06,,109.74,
1144,102,2026-02,,150.36,
1104,105,2025-12,,218.67,
1104,105,2025-12,,87.47,
1123,102,2024-06,,198.55,
1129,104,2024-04,,539.59,
1096,104,2025-07,,37.0,
1090,103,2026-04,,4.3,
1150,101,2025-07,,596.49,
1150,101,2025-07,,238.6,
1026,104,2025-01,,595.73,
1087,101,2025-11,,578.58,
1087,101,2025-11,,-231.43,
1090,105,2024-05,,437.39,
1068,104,2025-11,,432.16,
1105,103,2024-06,,167.2,
1105,103,2024-06,,66.88,
1004,102,2024-07,,42.71,
1010,102,2026-01,,28.93,
1013,102,2025-05,,596.11,
1128,105,2026-03,,404.34,
1141,105,2024-08,,249.6,
1037,104,2025-07,,298.63,
1037,104,2025-07,,119.45,
1096,104,2024-06,,181.68,
1046,103,2025-12,,88.75,
1096,105,2025-06,,82.62,
1104,103,2024-04,,322.54,
1132,105,2024-02,,524.49,
1126,102,2025-05,,127.31,
1126,102,2025-05,,50.92,
1024,104,2024-09,,418.14,
1072,103,2025-01,,281.08,
1116,104,2024-04,,482.18,
1041,103,2024-11,,249.82,
1055,105,2025-08,,348.54,
1087,105,2024-09,,300.83,
1114,104,2025-04,,103.02,
1114,102,2025-07,,594.22,
1114,102,2025-07,,237.69,
1010,101,2025-02,,84.65,
1045,105,2025-04,,225.49,
1113,104,2024-01,,6.45,
1058,105,2024-10,,12.74,
1037,101,2024-04,,315.82,
1077,103,2026-03,,239.65,
1150,102,2024-11,,411.21,
1006,101,2025-02,,229.11,
1036,101,2025-05,,507.58,
1019,105,2024-02,,139.79,
1019,105,2024-02,,55.91,
1147,103,2025-07,,339.2,
1041,105,2024-05,,451.97,
1034,105,2024-09,,341.1,
1088,102,2026-03,,593.12,
1010,101,2025-03,,141.21,
1131,104,2026-03,,197.51,
1049,103,2025-07,,564.83,
1017,105,2024-10,,479.34,
1138,102,2026-01,,235.3,
1101,103,2026-02,,163.69,
1126,105,2025-02,,64.22,
1072,104,2024-01,,176.88,
1052,105,2025-06,,103.83,
1116,102,2024-03,,102.41,
1081,103,2024-09,,433.24,
1026,103,2024-01,,569.42,
1073,104,2024-12,,259.79,
1068,103,2025-09,,568.5,
1071,103,2026-01,,417.74,
1087,103,2026-04,,472.06,
1124,102,2025-11,,461.15,
1041,104,2026-03,,176.57,
1093,104,2024-05,,380.92,
1087,101,2025-04,,594.44,
1148,104,2025-07,,24.47,
1148,104,2025-07,,9.79,
1021,102,2025-11,,399.65,
1139,104,2026-02,,200.63,
1046,105,2026-02,,312.48,
1090,104,2026-03,,-408.53,
1113,101,2024-10,,251.05,
1113,101,2024-10,,100.42,
1105,102,2025-06,,291.05,
1071,101,2024-11,,29.2,
1021,102,2026-01,,148.24,
1111,102,2026-03,,244.52,
1005,105,2024-07,,271.12,
1058,101,2025-08,,63.3,
1058,101,2025-08,,25.32,
1114,105,2025-10,,189.76,
1077,104,2025-09,,105.58,
1130,101,2025-11,,82.53,
1148,102,2025-06,,234.61,
1114,105,2025-12,,551.7,
1114,105,2025-12,,220.68,
1104,105,2024-02,,519.65,
1104,105,2024-02,,207.86,
1140,104,2025-02,,411.61,
1017,105,2024-02,,478.04,
1061,102,2026-03,,275.75,
1022,105,2024-04,,162.56362345,
1008,104,2025-07,,133.08,
1052,103,2024-02,,271.22,
1024,102,2024-08,,486.89,
1137,104,2024-06,,370.65,
1127,103,2025-06,,170.45,
1064,105,2024-09,,571.56,
1026,104,2024-03,,595.51,
1026,104,2024-03,,238.2,
1052,104,2025-05,,87.45,
1016,101,2025-02,,310.58,
1114,103,2025-08,,3.98,
1105,103,2024-03,,477.91762345,
1116,103,2024-11,,497.44,
1114,103,2025-11,,457.95,
1004,101,2024-06,,266.16862345,
1148,102,2025-10,,182.86,
1148,102,2025-10,,73.15,
1144,102,2024-02,,239.31,
1140,101,2025-12,,59.37,
1121,104,2024-01,,7.32,
1148,102,2025-05,,44.82,
1071,103,2024-11,,84.44,
1146,102,2024-03,,319.48,
1045,102,2025-02,,370.61,
1026,101,2025-08,,438.68,
1052,103,2025-10,,52.84,
1148,101,2025-11,,525.81,
1090,103,2025-10,,35.10512345,
1090,103,2025-10,,14.04,
1131,101,2025-06,,533.51,
1088,105,2025-03,,220.83,
1016,101,2025-08,,42.85,
1090,105,2024-10,,378.07,
1017,105,2025-07,,370.59,
1041,102,2025-07,,197.73,
1139,101,2024-11,,419.96,
1018,104,2024-04,,273.39,
1037,101,2024-01,,425.47,
1121,105,2026-03,,493.95,
1057,101,2026-02,,540.19,
1055,105,2025-10,,48.55,
1127,102,2025-01,,96.49,
1022,102,2026-01,,306.52,
1112,103,2025-01,,552.3356234500001,
1140,104,2024-08,,194.78,
1016,105,2025-01,,73.84,
1121,101,2025-02,,43.68,
1072,101,2025-07,,275.41,
1136,102,2025-04,,222.54362345,
1136,102,2025-04,,89.02,
1052,102,2024-01,,559.61,
1148,101,2024-12,,3.37,
1021,102,2025-06,,589.9116234500001,
1029,103,2024-04,,28.73,
1086,104,2026-02,,53.23,
1016,105,2025-08,,39.71,
1071,104,2025-12,,499.56,
1040,102,2026-03,,462.66,
1071,104,2024-05,,322.72,
1071,104,2024-05,,129.09,
1034,103,2026-04,,423.56,
1029,101,2025-12,,150.81,
1055,102,2024-02,,571.38,
1055,102,2024-02,,228.55,
1026,101,2024-01,,39.35,
1092,103,2025-12,,379.1,
1016,101,2024-03,,120.66,
1073,101,2024-02,,565.51,
1090,104,2024-01,,231.18,
1058,103,2025-04,,530.35,
1064,104,2025-02,,529.96,
1096,102,2025-10,,531.08,
1004,104,2026-03,,428.74,
1127,105,2024-11,,234.56,
1058,101,2026-04,,-594.94,
1034,101,2024-09,,394.98,
1013,102,2025-08,,508.29,
1037,102,2024-08,,356.53,
1005,103,2025-08,,-339.26,
1116,105,2024-11,,107.4,
1004,105,2025-05,,2.91,
1004,105,2025-05,,1.16,
1072,101,2024-01,,90.76,
1122,103,2024-03,,225.72,
1122,103,2024-03,,90.29,
1034,104,2026-03,,384.46,
1126,105,2026-03,,215.7,
1148,103,2024-05,,108.68,
1127,101,2024-07,,362.42712345,
1127,101,2024-07,,144.97,
1029,103,2026-02,,48.99,
1018,103,2025-04,,9.31,
1021,101,2024-02,,233.09762345,
1116,104,2024-12,,328.75,
1140,102,2024-06,,272.14,
1055,101,2024-03,,206.73,
1055,101,2024-03,,82.69,
1074,105,2025-09,,536.2,
1132,104,2024-06,,34.49962345,
1125,105,2024-09,,397.21,
1125,104,2024-06,,35.07,
1137,105,2025-05,,121.81,
1017,104,2024-04,,186.74,
1018,105,2025-01,,112.97,
1018,105,2025-01,,45.19,
1046,103,2025-07,,39.33,
1075,105,2025-02,,582.5,
1121,104,2025-07,,413.02,
1121,104,2025-07,,165.21,
1006,105,2025-08,,540.52,
1024,104,2024-06,,569.56,
1008,104,2024-03,,592.9976234500001,
1131,103,2024-11,,546.71,
1131,103,2024-11,,218.68,
1058,105,2025-04,,550.5,
1096,101,2025-02,,91.91,
1019,101,2025-07,,468.28,
1093,103,2025-01,,393.74,
1092,102,2025-09,,366.17,
1073,102,2024-02,,448.09,
1073,102,2024-02,,179.23,
1058,104,2025-12,,411.7,
1058,104,2025-12,,164.68,
1072,103,2026-01,,251.52,
1093,104,2026-02,,311.11,
1015,103,2025-12,,305.31,
1005,102,2024-07,,525.42,
1010,103,2025-12,,121.47,
1024,101,2024-09,,225.05,
1130,105,2024-12,,208.19,
1018,103,2024-01,,233.47,
1046,102,2025-11,,126.02,
1147,101,2025-04,,547.13,
1053,105,2026-04,,565.95,
1087,103,2025-04,,153.07,
1090,105,2024-04,,6.890123450000001,
1090,105,2024-04,,2.76,
1061,103,2025-12,,67.09262345,
1058,103,2025-11,,427.38,
1058,103,2025-11,,170.95,
1131,104,2025-11,,193.45,
1064,103,2025-03,,-244.25,
1039,103,2026-01,,428.74,
1144,103,2025-06,,181.87,
1064,101,2025-04,,78.95,
1038,103,2025-11,,55.86,
1073,103,2024-09,,352.38,
1138,105,2025-08,,566.72,
1147,104,2025-06,,180.77,
1040,103,2025-02,,592.3471234500001,
1040,103,2025-02,,236.94,
1017,104,2024-12,,379.54,
1058,102,2026-02,,464.69,
1018,102,2025-09,,261.64,
1001,101,2025-06,,121.65,
1122,102,2024-01,,406.86,
1075,103,2024-05,,63.87,
1008,103,2024-10,,274.92,
1147,102,2024-12,,597.69,
1092,101,2024-08,,136.53,
1092,101,2024-08,,54.61,
1140,101,2025-01,,526.24,
1010,101,2025-10,,502.08,
1024,105,2024-09,,285.95,
1068,104,2025-11,,62.84,
1096,101,2025-06,,431.96,
1040,105,2024-07,,467.33062345,
1093,103,2024-06,,26.05,
1073,102,2024-01,,10.12,
1116,102,2024-04,,468.27,
1139,102,2025-04,,593.23,
1037,101,2024-10,,217.73,
1008,101,2024-05,,398.85,
1136,103,2026-01,,58.04,
1105,103,2025-01,,414.72,
1036,101,2024-05,,418.46,
1096,105,2025-05,,481.85,
1077,105,2024-01,,517.89,
1077,105,2024-01,,207.16,
1093,104,2024-02,,40.34,
1122,105,2026-01,,340.1,
1122,105,2026-01,,136.04,
1019,104,2025-11,,436.67,
1033,105,2025-09,,35.1,
1116,102,2024-03,,451.48,
1117,102,2025-07,,386.88,
1128,104,2024-03,,514.31,
1140,101,2024-04,,243.56,
1132,105,2025-10,,184.5,
1074,103,2026-04,,34.93,
1136,105,2025-04,,430.7,
1141,102,2024-01,,206.46112345,
1121,103,2025-12,,66.03,
1121,103,2025-12,,26.41,
1053,105,2024-07,,114.56,
1053,105,2024-07,,45.82,
1021,104,2024-02,,556.16,
1104,104,2025-11,,354.61662345,
1010,105,2025-03,,503.69,
1037,105,2024-06,,438.97,
1072,105,2025-01,,252.65,
1090,103,2024-10,,273.08,
1119,103,2025-12,,329.81,
1045,102,2024-08,,375.44,
1140,102,2025-05,,326.64,
1126,104,2025-08,,343.46,
1123,103,2025-03,,485.46,
1144,101,2024-07,,162.01962344999998,
1029,101,2025-12,,471.15,
1104,101,2025-09,,521.15,
1126,104,2024-08,,307.78,
1010,104,2025-01,,251.4,
1010,101,2026-01,,152.68,
1046,103,2026-02,,354.06,
1039,103,2025-04,,108.51,
1119,101,2025-01,,26.78,
1053,101,2024-12,,281.13,
1053,101,2024-12,,112.45,
1137,105,2025-11,,182.44,
1071,105,2024-08,,574.3,
1124,105,2025-02,,57.44,
1081,103,2024-08,,570.31,
1140,101,2024-04,,402.19,
1136,102,2024-02,,410.32,
1088,103,2025-07,,435.08,
1119,105,2025-04,,293.37,
1017,101,2024-06,,583.05,
1041,102,2025-12,,255.97,
1099,101,2026-02,,412.41,
1016,101,2024-07,,477.04,
1055,104,2025-02,,272.05,
1024,105,2024-01,,385.75,
1150,101,2025-01,,557.01,
1018,103,2026-02,,556.2,
1034,105,2024-08,,83.99,
1138,102,2024-11,,407.18,
1138,102,2024-11,,162.87,
1125,105,2024-05,,76.13,
1017,103,2024-08,,449.61,
1017,103,2024-08,,179.84,
1034,102,2024-08,,371.09,
1127,101,2026-02,,559.59,
1127,101,2026-02,,223.84,
1019,102,2026-01,,349.41,
1019,102,2026-01,,139.76,
1015,102,2024-11,,292.8,
1033,105,2025-08,,220.28,
1052,102,2025-12,,444.54,
1073,104,2025-04,,268.6,
1139,105,2024-03,,505.47,
1139,105,2024-03,,202.19,
1016,101,2024-01,,510.13,
1130,102,2024-02,,332.07762345000003,
1033,103,2025-02,,135.93,
1111,105,2025-06,,56.61,
1133,102,2026-02,,309.7,
1141,102,2026-01,,439.87,
1141,102,2026-01,,175.95,
1049,101,2025-11,,126.05,
1049,101,2025-11,,50.42,
1140,103,2024-04,,422.98,
1055,105,2025-07,,343.17,
1016,105,2024-09,,227.36,
1016,105,2024-09,,90.94,
1113,105,2024-01,,302.35,
1139,103,2024-08,,92.27,
1141,102,2025-02,,487.18,
1041,105,2024-06,,389.24,
1130,102,2024-05,,378.65,
1055,102,2025-06,,575.05,
1141,103,2024-03,,131.91,
1046,104,2025-09,,87.77,
1119,103,2024-06,,435.2,
1049,104,2025-01,,81.5,
1147,104,2026-04,,91.86,
1006,105,2025-05,,452.05,
1124,101,2026-03,,407.94,
1150,105,2025-03,,139.62,
1130,105,2024-04,,256.73,
1017,103,2025-09,,526.37,
1001,105,2025-06,,72.9,
1071,104,2025-01,,66.18,
1123,104,2025-08,,220.97,
1093,105,2026-03,,335.64,
1070,105,2024-12,,465.08,
1024,102,2025-04,,470.41,
1024,102,2025-04,,188.16,
1133,101,2024-06,,234.99,
1112,105,2025-03,,55.16,
1088,104,2025-09,,394.56462345,
1037,104,2025-03,,8.9,
1037,104,2025-03,,3.56,
1119,105,2025-12,,140.92,
1001,102,2024-03,,598.1,
1130,102,2025-06,,11.68,
1126,105,2024-12,,210.12,
1105,104,2025-08,,5.28,
1117,103,2024-12,,568.34162345,
1128,103,2025-12,,267.05,
1074,104,2025-11,,277.78,
1015,104,2025-10,,473.72,
1093,103,2025-06,,322.55,
1092,103,2024-03,,333.84,
1128,103,2024-07,,568.4,
1040,102,2026-01,,147.13,
1136,103,2024-06,,467.92,
1116,105,2024-01,,459.14,
1136,103,2025-05,,539.13,
1136,103,2025-05,,215.65,
1119,103,2025-02,,135.2,
1113,105,2024-02,,302.73,
1024,105,2025-04,,191.1,
1019,103,2025-01,,368.63,
1112,105,2024-12,,221.14,
1086,103,2025-02,,169.58,
1049,101,2026-01,,163.79,
1029,102,2025-04,,-483.89,
1137,105,2025-06,,433.04,
1127,101,2025-02,,61.64,
1137,101,2025-04,,447.39,
1053,103,2024-01,,248.53,
1128,105,2025-10,,390.36,
1146,105,2025-05,,465.41,
1111,102,2024-06,,385.25,
1111,102,2024-06,,154.1,
1017,102,2024-12,,138.86,
1139,104,2024-10,,532.9,
1121,104,2025-02,,102.47,
1121,104,2025-02,,40.99,
1017,102,2024-06,,239.73,
1010,101,2026-02,,239.72,
1033,101,2025-11,,559.12,
1101,102,2024-05,,317.23,
1072,104,2025-04,,585.05,
1150,105,2024-06,,355.52,
1099,105,2025-10,,384.62,
1018,104,2024-11,,221.06,
1026,103,2024-10,,282.85,
1113,103,2024-01,,460.11,
1125,103,2024-07,,248.51,
1139,104,2026-04,,228.57,
1133,103,2024-10,,389.95,
1015,102,2024-05,,175.53,
1136,104,2024-07,,194.08462345,
1021,103,2024-10,,77.21,
1003,104,2024-08,,-206.79,
1111,101,2024-12,,50.43,
1090,101,2025-07,,283.41,
1003,101,2026-02,,429.52312345,
1006,102,2025-04,,441.86,
1088,103,2024-11,,97.27,
1024,103,2025-05,,384.02,
1045,101,2024-08,,380.66,
1024,104,2026-03,,147.75,
1024,104,2026-03,,59.1,
1018,102,2024-06,,301.2,
1137,101,2024-03,,214.92,
1114,102,2024-11,,589.05,
1101,102,2024-01,,414.33,
1114,104,2025-07,,178.59,
1075,103,2026-01,,282.37,
1075,103,2026-01,,112.95,
1104,103,2026-04,,159.85,
1087,102,2024-01,,372.79,
1015,105,2026-04,,234.03,
1133,103,2024-11,,247.36,
1008,102,2024-07,,524.41,
1128,104,2025-11,,295.22,
1046,105,2026-01,,44.85,
1046,105,2026-01,,17.94,
1138,101,2025-01,,335.92,
1138,101,2025-01,,134.37,
1057,105,2024-02,,441.24,
1121,101,2024-04,,435.79,
1052,105,2025-10,,568.63,
1138,105,2025-01,,405.51,
1038,105,2025-02,,304.05,
1077,103,2025-07,,594.9,
1099,103,2025-09,,146.33,
1053,103,2025-04,,-269.88,
1131,101,2025-06,,-83.21,
1131,101,2025-06,,33.29,
1148,103,2025-07,,307.98,
1105,103,2024-06,,85.2,
1068,101,2025-08,,241.38,
1068,101,2025-08,,96.55,
1148,105,2026-04,,544.82,
1128,104,2024-03,,468.62,
1128,104,2024-03,,187.45,
1024,102,2026-02,,392.54,
1087,101,2024-11,,315.82,
1150,102,2024-06,,32.69,
1131,105,2025-05,,56.32,
1074,101,2025-05,,343.94,
1117,104,2026-03,,419.48,
1090,105,2024-07,,337.8,
1090,105,2024-07,,135.12,
1147,105,2024-04,,69.74,
1075,105,2025-11,,16.96362345,
1101,105,2024-05,,265.68,
1101,105,2024-05,,106.27,
1017,101,2026-01,,35.09,
1017,101,2026-01,,14.03,
1148,101,2024-11,,271.41,
1041,105,2025-06,,-450.84,
1148,101,2025-01,,350.85,
1061,102,2026-03,,418.67,
1015,104,2025-11,,164.61,
1015,104,2025-11,,65.84,
1140,104,2024-08,,587.93,
1114,105,2025-06,,55.09262345,
1004,101,2024-09,,553.56,
1004,103,2025-12,,212.77,
1117,103,2026-04,,-39.55,
1005,105,2024-10,,137.29,
1087,105,2025-11,,368.44,
1033,104,2024-11,,546.07,
1026,105,2025-07,,411.22,
1122,102,2025-03,,597.42,
1122,102,2025-03,,238.97,
1126,105,2026-01,,73.24,
1071,104,2025-02,,183.75,
1058,102,2026-03,,-114.79,
1133,103,2025-09,,341.31,
1077,101,2025-12,,468.45,
1140,103,2024-07,,511.65,
1006,104,2026-02,,581.3671234500001,
1006,104,2026-02,,232.55,
1041,101,2024-06,,556.44,
1041,101,2024-06,,222.58,
1052,104,2025-02,,466.29,
1090,105,2026-01,,344.23,
1006,105,2024-04,,-272.34,
1121,105,2025-02,,590.34,
1010,102,2024-10,,265.13,
1010,102,2024-10,,106.05,
1010,105,2024-05,,279.49,
1038,105,2025-12,,328.98,
1105,105,2025-12,,537.74,
1105,105,2025-12,,215.09,
1034,101,2024-04,,70.71,
1088,105,2025-09,,569.98,
1073,105,2025-11,,517.95,
1010,104,2024-11,,187.44,
1024,102,2024-07,,4.61,
1116,105,2026-04,,5.94,
1116,105,2026-04,,2.37,
1017,105,2025-09,,6.43,
1017,105,2025-09,,2.57,
1038,102,2024-02,,392.83,
1132,103,2024-12,,552.43,
1146,103,2025-09,,397.4,
1105,105,2025-01,,559.06,
1087,101,2026-02,,257.83,
1148,103,2024-12,,317.41,
1021,105,2026-01,,587.66,
1132,103,2025-03,,-366.28,
1077,102,2025-09,,338.67,
1038,105,2024-08,,425.88,
1038,105,2024-08,,170.35,
1041,105,2025-02,,249.89,
1003,102,2025-12,,170.77,
1072,101,2024-04,,412.29,
1005,102,2024-07,,199.98,
1006,102,2025-05,,95.34,
1111,104,2026-01,,35.97,
1126,105,2024-01,,126.94,
1077,101,2024-06,,170.07512345,
1036,105,2025-09,,235.27,
1071,101,2024-10,,249.79,
1068,102,2025-06,,183.13,
1018,104,2025-06,,17.4,
1113,105,2024-11,,465.88,
1121,102,2024-07,,435.43,
1001,103,2024-02,,413.01,
1008,101,2025-06,,460.29,
1138,102,2024-11,,122.33,
1144,101,2024-10,,91.72,
1119,101,2024-07,,326.66,
1061,105,2024-09,,104.84,
1010,102,2024-01,,283.76,
1098,104,2024-07,,423.55,
1098,104,2024-07,,169.42,
1073,102,2025-12,,455.65,
1111,105,2024-05,,58.02,
1070,104,2025-04,,140.94,
1081,104,2024-07,,420.52,
1105,104,2024-01,,41.56,
1061,103,2025-09,,345.87,
1021,103,2025-07,,390.55,
1093,102,2025-09,,148.11,
1041,105,2025-03,,471.13,
1050,102,2025-11,,402.59,
1022,105,2025-09,,279.09,
1092,101,2025-09,,67.48,
1116,101,2024-04,,132.52,
1001,102,2025-11,,91.66,
1040,102,2025-11,,526.76,
1099,103,2024-04,,350.68,
1064,101,2025-01,,540.89,
1064,101,2025-01,,216.35712345,
1061,101,2024-08,,260.45,
1092,104,2025-03,,328.21,
1088,103,2025-03,,94.67,
1088,103,2025-03,,37.87,
1114,104,2024-05,,53.09,
1150,105,2025-03,,374.89,
1088,103,2024-08,,113.51,
1050,105,2024-10,,247.98,
1127,104,2025-12,,222.72562345,
1122,103,2025-04,,311.38,
1137,101,2025-12,,381.13,
1074,105,2026-03,,8.94,
1073,104,2024-12,,576.45,
1131,103,2026-01,,471.55,
1128,101,2025-11,,594.24,
1017,102,2025-06,,48.43,
1058,103,2024-01,,445.5,
1141,104,2025-01,,485.19,
1122,101,2024-12,,590.48,
1122,101,2024-12,,236.19,
1093,104,2024-08,,397.25,
1075,101,2025-10,,160.48,
1112,103,2025-05,,448.33,
1088,104,2024-09,,89.23,
